PRODUCT,EQUIPMENT,RECIPE,PROCESS_TEMP,PROCESS_TIME,SENSOR_A,SENSOR_B,QUALITY_VALUE
P_C,EQ_A,R1,427.828,61.967,51.389,19.395,98.901
P_C,EQ_C,R2,430.226,66.003,52.294,,106.888
P_B,EQ_B,R2,439.64,61.686,60.125,19.003,111.837
P_A,EQ_A,R1,435.267,63.299,54.747,21.812,101.401
P_C,EQ_A,R2,437.472,63.213,55.406,17.813,101.16
P_C,EQ_C,R1,432.216,56.205,52.88,22.245,97.727
P_A,EQ_C,R1,422.49,55.525,46.091,24.937,95.01
P_B,EQ_B,R1,430.906,55.865,53.998,18.267,108.654
P_A,EQ_B,R1,424.537,64.218,46.484,19.29,104.367
P_A,EQ_B,R1,431.704,66.627,53.209,17.655,108.072
P_C,EQ_B,R1,430.999,72.9,48.924,19.975,98.573
P_A,EQ_A,R1,434.282,61.729,54.344,20.022,102.775
P_A,EQ_A,R1,432.387,68.377,51.522,19.983,101.701
P_A,EQ_C,R1,428.684,59.192,49.094,22.759,100.963
P_A,EQ_B,R2,440.354,57.46,55.942,19.591,105.189
P_C,EQ_C,R2,440.859,70.502,58.553,23.882,108.054
P_B,EQ_B,R1,428.885,51.845,49.588,18.956,105.382
P_A,EQ_C,R2,437.72,55.737,56.357,25.198,110.091
P_A,EQ_C,R1,426.998,58.649,48.402,22.671,98.017
P_A,EQ_B,R1,431.535,54.733,,20.603,105.015
P_B,EQ_C,R1,431.354,56.98,53.407,22.948,106.195
P_C,EQ_B,R1,426.595,62.703,48.891,19.61,100.239
P_B,EQ_B,R1,431.875,66.484,50.813,20.547,105.282
P_A,EQ_C,R2,,49.592,54.617,23.884,107.712
P_A,EQ_C,R2,430.86,64.342,47.545,23.147,104.183
P_C,EQ_C,R2,437.242,62.607,54.48,23.214,105.208
P_C,EQ_A,R1,429.65,66.964,,20.393,99.688
P_B,EQ_A,R1,428.366,60.924,47.729,19.938,100.184
P_C,EQ_A,R2,437.583,56.78,57.46,19.233,100.952
P_A,EQ_A,R2,434.583,62.021,53.348,19.808,101.669
P_B,EQ_B,R2,440.136,53.918,58.836,18.132,113.57
P_B,EQ_A,R1,429.155,61.48,50.693,17.314,102.944
P_C,EQ_C,R1,434.848,66.004,55.546,22.92,100.132
P_C,EQ_C,R1,434.381,66.062,52.464,22.981,100.023
P_B,EQ_C,R1,422.538,63.165,48.095,24.471,78.032
P_A,EQ_B,R1,434.625,63.644,55.625,19.804,108.374
P_A,EQ_A,R2,441.602,60.112,55.494,20.741,100.769
P_A,EQ_A,R1,429.61,59.712,47.879,20.003,95.074
P_A,EQ_B,R1,431.614,65.29,47.498,17.42,104.255
P_A,EQ_B,R1,426.905,63.666,48.055,21.121,101.232
P_B,EQ_B,R1,428.536,59.718,51.581,21.774,108.935
P_B,EQ_B,R1,433.34,61.557,55.282,19.972,115.103
